                                                                                                       
{'loss': 1.8984, 'grad_norm': 5.093846797943115, 'learning_rate': 1.4803625377643504e-05, 'epoch': 0.15}
{'loss': 1.8761, 'grad_norm': 4.898409366607666, 'learning_rate': 1.4954682779456195e-05, 'epoch': 0.15}
{'loss': 1.8586, 'grad_norm': 4.999933242797852, 'learning_rate': 1.5105740181268882e-05, 'epoch': 0.15}
{'loss': 1.8417, 'grad_norm': 4.769570350646973, 'learning_rate': 1.5256797583081573e-05, 'epoch': 0.15}
{'loss': 1.8129, 'grad_norm': 4.631253242492676, 'learning_rate': 1.540785498489426e-05, 'epoch': 0.15}
{'loss': 1.7793, 'grad_norm': 4.41707181930542, 'learning_rate': 1.555891238670695e-05, 'epoch': 0.16}
{'loss': 1.7623, 'grad_norm': 4.238260269165039, 'learning_rate': 1.570996978851964e-05, 'epoch': 0.16}
{'loss': 1.7598, 'grad_norm': 4.149482250213623, 'learning_rate': 1.5861027190332328e-05, 'epoch': 0.16}
{'loss': 1.729, 'grad_norm': 4.086996078491211, 'learning_rate': 1.6012084592145014e-05, 'epoch': 0.16}
{'loss': 1.7198, 'grad_norm': 3.994877576828003, 'learning_rate': 1.6163141993957703e-05, 'epoch': 0.16}
{'loss': 1.6978, 'grad_norm': 3.741549253463745, 'learning_rate': 1.6314199395770393e-05, 'epoch': 0.16}
{'loss': 1.6764, 'grad_norm': 3.5508620738983154, 'learning_rate': 1.6465256797583082e-05, 'epoch': 0.16}
{'loss': 1.665, 'grad_norm': 3.39436936378479, 'learning_rate': 1.661631419939577e-05, 'epoch': 0.17}
{'loss': 1.6578, 'grad_norm': 3.314404010772705, 'learning_rate': 1.676737160120846e-05, 'epoch': 0.17}
{'loss': 1.6463, 'grad_norm': 3.1739821434020996, 'learning_rate': 1.691842900302115e-05, 'epoch': 0.17}
{'loss': 1.6346, 'grad_norm': 3.178806781768799, 'learning_rate': 1.706948640483384e-05, 'epoch': 0.17}
{'loss': 1.6025, 'grad_norm': 2.8472957611083984, 'learning_rate': 1.7220543806646528e-05, 'epoch': 0.17}
{'loss': 1.6053, 'grad_norm': 2.786834478378296, 'learning_rate': 1.7371601208459214e-05, 'epoch': 0.17}
{'loss': 1.5875, 'grad_norm': 2.5409207344055176, 'learning_rate': 1.7522658610271906e-05, 'epoch': 0.18}
{'loss': 1.5882, 'grad_norm': 2.654059886932373, 'learning_rate': 1.7673716012084592e-05, 'epoch': 0.18}
{'loss': 1.581, 'grad_norm': 2.401719808578491, 'learning_rate': 1.782477341389728e-05, 'epoch': 0.18}
{'loss': 1.5745, 'grad_norm': 2.704061269760132, 'learning_rate': 1.797583081570997e-05, 'epoch': 0.18}
{'loss': 1.5541, 'grad_norm': 2.213296890258789, 'learning_rate': 1.812688821752266e-05, 'epoch': 0.18}
{'loss': 1.5463, 'grad_norm': 2.135585069656372, 'learning_rate': 1.827794561933535e-05, 'epoch': 0.18}
{'loss': 1.5414, 'grad_norm': 2.0519049167633057, 'learning_rate': 1.8429003021148035e-05, 'epoch': 0.18}
{'loss': 1.5309, 'grad_norm': 1.8535361289978027, 'learning_rate': 1.8580060422960728e-05, 'epoch': 0.19}
{'loss': 1.5307, 'grad_norm': 1.8587347269058228, 'learning_rate': 1.8731117824773413e-05, 'epoch': 0.19}
